message_id,source_revision,file,line,column,end_line,end_column,rule_id,severity,message,element_id,element_line,element_column,element_tag,source_start_byte_offset,direct_handlers,opening_tag,evidence_note
M021,d16f6201caff78082e5e83c540320dbee5871404,src/app/tasks/task-comments-viewer/pdf-image-comment/pdf-image-comment.component.html,1,1,10,5,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E016,1,1,a,0,click,"<a (click)=""openCommentsModal()"">",Anchor without href opens an attachment modal; use a named native button and preserve preview/error behavior.
M022,d16f6201caff78082e5e83c540320dbee5871404,src/app/tasks/task-comments-viewer/task-comments-viewer.component.html,183,23,196,27,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E017,183,23,a,7761,click,"<a class=""original-comment"" [class.disabled]=""!comment.originalComment"" (click)=""scrollToComment(comment.originalComment?.id)"" >",Anchor without href scrolls to the original comment; preserve removed-comment behavior when introducing a native action.
M023,d16f6201caff78082e5e83c540320dbee5871404,src/app/tasks/task-comments-viewer/task-comments-viewer.component.html,183,23,196,27,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E017,183,23,a,7761,click,"<a class=""original-comment"" [class.disabled]=""!comment.originalComment"" (click)=""scrollToComment(comment.originalComment?.id)"" >",Anchor without href scrolls to the original comment; preserve removed-comment behavior when introducing a native action.
M024,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,130,13,140,19,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E018,130,13,div,4581,click,"<div cdkDrag class=""example-box"" [ngClass]=""{ 'bg-gray-100': selectedOverseerStep?.id === step.id, }"" (click)=""selectStep(step)"" >",Clickable draggable step row selects a step; separate or preserve drag handling and provide native keyboard selection.
M025,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,130,13,140,19,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E018,130,13,div,4581,click,"<div cdkDrag class=""example-box"" [ngClass]=""{ 'bg-gray-100': selectedOverseerStep?.id === step.id, }"" (click)=""selectStep(step)"" >",Clickable draggable step row selects a step; separate or preserve drag handling and provide native keyboard selection.
M026,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,143,13,150,19,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E019,143,13,div,5042,click,"<div cdkDrag cdkDragDisabled class=""example-box bg-gray-100"" (click)=""selectStep(newOverseerStep)"" >",Clickable new-step row selects the draft step; provide native keyboard selection while preserving disabled dragging.
M027,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,143,13,150,19,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E019,143,13,div,5042,click,"<div cdkDrag cdkDragDisabled class=""example-box bg-gray-100"" (click)=""selectStep(newOverseerStep)"" >",Clickable new-step row selects the draft step; provide native keyboard selection while preserving disabled dragging.
M028,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,9,9,9,39,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E020,9,9,label,356,,<label>,"Definitions CSV is a caption beside separate upload/download actions, not an associated input label."
M029,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,20,9,20,40,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E021,20,9,label,779,,<label>,"Resources as Zip is a caption beside separate upload/download actions, not an associated input label."
M030,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,186,17,243,23,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E022,186,17,div,7546,click,"<div class=""flex h-[60px] w-full cursor-pointer items-center rounded-[6px] hover:bg-gray-50"" matTooltipPosition=""above"" [matTooltip]=""taskDefinition.name"" [matTooltipDisabled]=""!isTaskListCollapsed"" [matTooltipShowDelay]=""250"" [ngClass]=""{ 'bg-[#e7e7ff]': isSelectedTaskDefinition(taskDefinition), }"" (click)=""selectTaskDefinition(taskDefinition)"" >",Outer clickable task-definition row contains separate action buttons; selection and row actions must remain distinct controls.
M031,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,186,17,243,23,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E022,186,17,div,7546,click,"<div class=""flex h-[60px] w-full cursor-pointer items-center rounded-[6px] hover:bg-gray-50"" matTooltipPosition=""above"" [matTooltip]=""taskDefinition.name"" [matTooltipDisabled]=""!isTaskListCollapsed"" [matTooltipShowDelay]=""250"" [ngClass]=""{ 'bg-[#e7e7ff]': isSelectedTaskDefinition(taskDefinition), }"" (click)=""selectTaskDefinition(taskDefinition)"" >",Outer clickable task-definition row contains separate action buttons; selection and row actions must remain distinct controls.
M032,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,217,25,239,31,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E023,217,25,div,9037,click,"<div class=""flex items-center gap-0.5 pr-0.5"" (click)=""$event.stopPropagation()"" >","Inner div directly stops click propagation around action buttons. This is a second source element, not an ancestor diagnostic for the row."
M033,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,217,25,239,31,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E023,217,25,div,9037,click,"<div class=""flex items-center gap-0.5 pr-0.5"" (click)=""$event.stopPropagation()"" >","Inner div directly stops click propagation around action buttons. This is a second source element, not an ancestor diagnostic for the row."
M034,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/states/tasks/inbox/directives/staff-task-list/staff-task-list.component.html,292,15,414,21,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E024,292,15,div,10142,click; mouseout; mouseover,"<div class=""inbox-entry flex items-center"" [ngClass]=""{hover: rowActionsShown(task)}"" (click)=""setSelectedTask(task)"" (mouseout)=""hideTaskActions(task)"" (mouseover)=""showTaskActionsForPointer(task)"" >",Clickable staff row contains a focusable options button. Add native selection without nesting that button or losing status/grade/claim context.
M035,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/states/tasks/inbox/directives/staff-task-list/staff-task-list.component.html,292,15,414,21,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E024,292,15,div,10142,click; mouseout; mouseover,"<div class=""inbox-entry flex items-center"" [ngClass]=""{hover: rowActionsShown(task)}"" (click)=""setSelectedTask(task)"" (mouseout)=""hideTaskActions(task)"" (mouseover)=""showTaskActionsForPointer(task)"" >",Clickable staff row contains a focusable options button. Add native selection without nesting that button or losing status/grade/claim context.
M036,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/task-viewer/directives/unit-task-list/unit-task-list.component.html,152,11,213,17,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E025,152,11,div,5407,click,"<div class=""px-3 py-2"" (click)=""$event.stopPropagation()"">",Menu-layout div directly stops click propagation around sort/filter controls; move event handling to actual controls and retain menu behavior.
M037,d16f6201caff78082e5e83c540320dbee5871404,src/app/units/task-viewer/directives/unit-task-list/unit-task-list.component.html,152,11,213,17,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E025,152,11,div,5407,click,"<div class=""px-3 py-2"" (click)=""$event.stopPropagation()"">",Menu-layout div directly stops click propagation around sort/filter controls; move event handling to actual controls and retain menu behavior.
