source_revision,historical_source_revision,element_id,file_id,file,element_tag,line,column,source_start_byte_offset,historical_line,historical_column,historical_start_byte_offset,direct_handlers,opening_tag,evidence_note,rule_ids,raw_message_count,message_ids
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E011,F05,src/app/projects/states/dashboard/directives/progress-dashboard/engagement-passport-card/engagement-detail-dialog/engagement-detail-dialog.component.html,div,118,15,5239,114,15,4956,click,"<div class=""flex items-center"" [ngClass]=""comment.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToComment(comment.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.,@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M012; M013
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E012,F06,src/app/projects/states/staff-notes/staff-notes.component.html,div,14,13,599,14,13,599,click,"<div class=""flex items-center"" [ngClass]=""note.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToNote(note.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.,@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M014; M015
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E013,F07,src/app/projects/states/tutor-notes/tutor-notes.component.html,div,14,13,587,14,13,587,click,"<div class=""flex items-center"" [ngClass]=""note.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToNote(note.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.,@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M016; M017
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E014,F08,src/app/tasks/task-comment-composer/attachment-confirmation-dialog/attachment-confirmation-dialog.component.html,div,1,1,0,1,1,0,keydown.enter,"<div (keydown.enter)=""$event.preventDefault(); $event.stopPropagation()"">",Outer div directly cancels and stops Enter from child controls. Remove or narrow interception; adding a tab stop to the dialog wrapper is not a sound fix.,@angular-eslint/template/interactive-supports-focus,1,M018
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E015,F09,src/app/tasks/task-comment-composer/task-comment-composer.component.html,div,168,7,5442,160,7,5064,$userIsTyping | async; beforeinput; blur; focus; input; keydown; keydown.enter; paste,"<div #commentInput enterkeyhint=""send"" id=""textField"" name=""commentComposer"" placeholder=""Aa"" [attr.contenteditable]=""contentEditableValue() && !recording"" [class.active]=""($userIsTyping | async) === false"" [hidden]=""recording"" (beforeinput)=""handleBeforeInput($event)"" (blur)=""$userIsTyping.next(false)"" (focus)=""$userIsTyping.next(true)"" (input)=""onInputChange($event)"" (keydown)=""keyTyped()"" (keydown.enter)=""send($event)"" (paste)=""handlePaste($event)"" >",Editable div has a conditional contenteditable attribute and keyboard handlers. Give the editor textbox semantics/name and preserve recording/disabled focus behavior.,@angular-eslint/template/interactive-supports-focus,1,M019
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E016,F10,src/app/tasks/task-comments-viewer/pdf-image-comment/pdf-image-comment.component.html,a,1,1,0,1,1,0,click,"<a (click)=""openCommentsModal()"">",Anchor without href opens an attachment modal; use a named native button and preserve preview/error behavior.,@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M020; M021
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E017,F11,src/app/tasks/task-comments-viewer/task-comments-viewer.component.html,a,189,23,8043,183,23,7761,click,"<a class=""original-comment"" [class.disabled]=""!comment.originalComment"" (click)=""scrollToComment(comment.originalComment?.id)"" >",Anchor without href scrolls to the original comment; preserve removed-comment behavior when introducing a native action.,@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M022; M023
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E018,F12,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,div,130,13,4581,130,13,4581,click,"<div cdkDrag class=""example-box"" [ngClass]=""{ 'bg-gray-100': selectedOverseerStep?.id === step.id, }"" (click)=""selectStep(step)"" >",Clickable draggable step row selects a step; separate or preserve drag handling and provide native keyboard selection.,@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M024; M025
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E019,F12,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,div,143,13,5042,143,13,5042,click,"<div cdkDrag cdkDragDisabled class=""example-box bg-gray-100"" (click)=""selectStep(newOverseerStep)"" >",Clickable new-step row selects the draft step; provide native keyboard selection while preserving disabled dragging.,@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M026; M027
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E020,F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,label,9,9,356,9,9,356,,<label>,"Definitions CSV is a caption beside separate upload/download actions, not an associated input label.",@angular-eslint/template/label-has-associated-control,1,M028
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E021,F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,label,20,9,779,20,9,779,,<label>,"Resources as Zip is a caption beside separate upload/download actions, not an associated input label.",@angular-eslint/template/label-has-associated-control,1,M029
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E022,F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,div,186,17,7546,186,17,7546,click,"<div class=""flex h-[60px] w-full cursor-pointer items-center rounded-[6px] hover:bg-gray-50"" matTooltipPosition=""above"" [matTooltip]=""taskDefinition.name"" [matTooltipDisabled]=""!isTaskListCollapsed"" [matTooltipShowDelay]=""250"" [ngClass]=""{ 'bg-[#e7e7ff]': isSelectedTaskDefinition(taskDefinition), }"" (click)=""selectTaskDefinition(taskDefinition)"" >",Outer clickable task-definition row contains separate action buttons; selection and row actions must remain distinct controls.,@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M030; M031
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E023,F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,div,217,25,9037,217,25,9037,click,"<div class=""flex items-center gap-0.5 pr-0.5"" (click)=""$event.stopPropagation()"" >","Inner div directly stops click propagation around action buttons. This is a second source element, not an ancestor diagnostic for the row.",@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M032; M033
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E024,F14,src/app/units/states/tasks/inbox/directives/staff-task-list/staff-task-list.component.html,div,258,15,8915,292,15,10142,click; mouseout; mouseover,"<div class=""inbox-entry flex items-center"" [ngClass]=""{hover: rowActionsShown(task)}"" (click)=""setSelectedTask(task)"" (mouseout)=""hideTaskActions(task)"" (mouseover)=""showTaskActionsForPointer(task)"" >",Clickable staff row contains a focusable options button. Add native selection without nesting that button or losing status/grade/claim context.,@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M034; M035
283b493367681d1abab23e5fe7c633ba3a57e5c2,d16f6201caff78082e5e83c540320dbee5871404,E025,F15,src/app/units/task-viewer/directives/unit-task-list/unit-task-list.component.html,div,152,11,5538,152,11,5407,click,"<div class=""px-3 py-2"" (click)=""$event.stopPropagation()"">",Menu-layout div directly stops click propagation around sort/filter controls; move event handling to actual controls and retain menu behavior.,@angular-eslint/template/click-events-have-key-events; @angular-eslint/template/interactive-supports-focus,2,M036; M037
