message_id,source_revision,file_id,file,line,column,end_line,end_column,rule_id,severity,message,element_id,element_tag,source_start_byte_offset,historical_line,historical_column,historical_end_line,historical_end_column,direct_handlers,opening_tag,evidence_note
M011,283b493367681d1abab23e5fe7c633ba3a57e5c2,F04,src/app/dashboard/f-cross-dashboard.component.html,246,19,252,25,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E010,div,10188,246,19,252,25,click,"<div mat-menu-item (click)=""$event.stopPropagation(); toggleFilter(unit.projectId, mode)"" >",Clickable menu-item div contains a checkbox; use one native menuitemcheckbox control and preserve checked state without nesting controls.
M012,283b493367681d1abab23e5fe7c633ba3a57e5c2,F05,src/app/projects/states/dashboard/directives/progress-dashboard/engagement-passport-card/engagement-detail-dialog/engagement-detail-dialog.component.html,118,15,139,21,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E011,div,5239,114,15,131,21,click,"<div class=""flex items-center"" [ngClass]=""comment.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToComment(comment.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.
M013,283b493367681d1abab23e5fe7c633ba3a57e5c2,F05,src/app/projects/states/dashboard/directives/progress-dashboard/engagement-passport-card/engagement-detail-dialog/engagement-detail-dialog.component.html,118,15,139,21,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E011,div,5239,114,15,131,21,click,"<div class=""flex items-center"" [ngClass]=""comment.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToComment(comment.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.
M014,283b493367681d1abab23e5fe7c633ba3a57e5c2,F06,src/app/projects/states/staff-notes/staff-notes.component.html,14,13,31,19,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E012,div,599,14,13,31,19,click,"<div class=""flex items-center"" [ngClass]=""note.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToNote(note.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.
M015,283b493367681d1abab23e5fe7c633ba3a57e5c2,F06,src/app/projects/states/staff-notes/staff-notes.component.html,14,13,31,19,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E012,div,599,14,13,31,19,click,"<div class=""flex items-center"" [ngClass]=""note.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToNote(note.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.
M016,283b493367681d1abab23e5fe7c633ba3a57e5c2,F07,src/app/projects/states/tutor-notes/tutor-notes.component.html,14,13,31,19,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E013,div,587,14,13,31,19,click,"<div class=""flex items-center"" [ngClass]=""note.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToNote(note.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.
M017,283b493367681d1abab23e5fe7c633ba3a57e5c2,F07,src/app/projects/states/tutor-notes/tutor-notes.component.html,14,13,31,19,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E013,div,587,14,13,31,19,click,"<div class=""flex items-center"" [ngClass]=""note.replyTo && 'cursor-pointer hover:text-blue-500 hover:underline'"" (click)=""scrollToNote(note.replyTo)"" >",Reply navigation wrapper handles clicks even when replyTo is absent; a native action must retain the absent-target state.
M018,283b493367681d1abab23e5fe7c633ba3a57e5c2,F08,src/app/tasks/task-comment-composer/attachment-confirmation-dialog/attachment-confirmation-dialog.component.html,1,1,62,7,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E014,div,0,1,1,62,7,keydown.enter,"<div (keydown.enter)=""$event.preventDefault(); $event.stopPropagation()"">",Outer div directly cancels and stops Enter from child controls. Remove or narrow interception; adding a tab stop to the dialog wrapper is not a sound fix.
M019,283b493367681d1abab23e5fe7c633ba3a57e5c2,F09,src/app/tasks/task-comment-composer/task-comment-composer.component.html,168,7,184,14,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E015,div,5442,160,7,176,14,$userIsTyping | async; beforeinput; blur; focus; input; keydown; keydown.enter; paste,"<div #commentInput enterkeyhint=""send"" id=""textField"" name=""commentComposer"" placeholder=""Aa"" [attr.contenteditable]=""contentEditableValue() && !recording"" [class.active]=""($userIsTyping | async) === false"" [hidden]=""recording"" (beforeinput)=""handleBeforeInput($event)"" (blur)=""$userIsTyping.next(false)"" (focus)=""$userIsTyping.next(true)"" (input)=""onInputChange($event)"" (keydown)=""keyTyped()"" (keydown.enter)=""send($event)"" (paste)=""handlePaste($event)"" >",Editable div has a conditional contenteditable attribute and keyboard handlers. Give the editor textbox semantics/name and preserve recording/disabled focus behavior.
M020,283b493367681d1abab23e5fe7c633ba3a57e5c2,F10,src/app/tasks/task-comments-viewer/pdf-image-comment/pdf-image-comment.component.html,1,1,10,5,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E016,a,0,1,1,10,5,click,"<a (click)=""openCommentsModal()"">",Anchor without href opens an attachment modal; use a named native button and preserve preview/error behavior.
M021,283b493367681d1abab23e5fe7c633ba3a57e5c2,F10,src/app/tasks/task-comments-viewer/pdf-image-comment/pdf-image-comment.component.html,1,1,10,5,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E016,a,0,1,1,10,5,click,"<a (click)=""openCommentsModal()"">",Anchor without href opens an attachment modal; use a named native button and preserve preview/error behavior.
M022,283b493367681d1abab23e5fe7c633ba3a57e5c2,F11,src/app/tasks/task-comments-viewer/task-comments-viewer.component.html,189,23,202,27,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E017,a,8043,183,23,196,27,click,"<a class=""original-comment"" [class.disabled]=""!comment.originalComment"" (click)=""scrollToComment(comment.originalComment?.id)"" >",Anchor without href scrolls to the original comment; preserve removed-comment behavior when introducing a native action.
M023,283b493367681d1abab23e5fe7c633ba3a57e5c2,F11,src/app/tasks/task-comments-viewer/task-comments-viewer.component.html,189,23,202,27,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E017,a,8043,183,23,196,27,click,"<a class=""original-comment"" [class.disabled]=""!comment.originalComment"" (click)=""scrollToComment(comment.originalComment?.id)"" >",Anchor without href scrolls to the original comment; preserve removed-comment behavior when introducing a native action.
M024,283b493367681d1abab23e5fe7c633ba3a57e5c2,F12,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,130,13,140,19,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E018,div,4581,130,13,140,19,click,"<div cdkDrag class=""example-box"" [ngClass]=""{ 'bg-gray-100': selectedOverseerStep?.id === step.id, }"" (click)=""selectStep(step)"" >",Clickable draggable step row selects a step; separate or preserve drag handling and provide native keyboard selection.
M025,283b493367681d1abab23e5fe7c633ba3a57e5c2,F12,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,130,13,140,19,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E018,div,4581,130,13,140,19,click,"<div cdkDrag class=""example-box"" [ngClass]=""{ 'bg-gray-100': selectedOverseerStep?.id === step.id, }"" (click)=""selectStep(step)"" >",Clickable draggable step row selects a step; separate or preserve drag handling and provide native keyboard selection.
M026,283b493367681d1abab23e5fe7c633ba3a57e5c2,F12,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,143,13,150,19,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E019,div,5042,143,13,150,19,click,"<div cdkDrag cdkDragDisabled class=""example-box bg-gray-100"" (click)=""selectStep(newOverseerStep)"" >",Clickable new-step row selects the draft step; provide native keyboard selection while preserving disabled dragging.
M027,283b493367681d1abab23e5fe7c633ba3a57e5c2,F12,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,143,13,150,19,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E019,div,5042,143,13,150,19,click,"<div cdkDrag cdkDragDisabled class=""example-box bg-gray-100"" (click)=""selectStep(newOverseerStep)"" >",Clickable new-step row selects the draft step; provide native keyboard selection while preserving disabled dragging.
M028,283b493367681d1abab23e5fe7c633ba3a57e5c2,F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,9,9,9,39,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E020,label,356,9,9,9,39,,<label>,"Definitions CSV is a caption beside separate upload/download actions, not an associated input label."
M029,283b493367681d1abab23e5fe7c633ba3a57e5c2,F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,20,9,20,40,@angular-eslint/template/label-has-associated-control,2,A label component must be associated with a form element,E021,label,779,20,9,20,40,,<label>,"Resources as Zip is a caption beside separate upload/download actions, not an associated input label."
M030,283b493367681d1abab23e5fe7c633ba3a57e5c2,F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,186,17,243,23,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E022,div,7546,186,17,243,23,click,"<div class=""flex h-[60px] w-full cursor-pointer items-center rounded-[6px] hover:bg-gray-50"" matTooltipPosition=""above"" [matTooltip]=""taskDefinition.name"" [matTooltipDisabled]=""!isTaskListCollapsed"" [matTooltipShowDelay]=""250"" [ngClass]=""{ 'bg-[#e7e7ff]': isSelectedTaskDefinition(taskDefinition), }"" (click)=""selectTaskDefinition(taskDefinition)"" >",Outer clickable task-definition row contains separate action buttons; selection and row actions must remain distinct controls.
M031,283b493367681d1abab23e5fe7c633ba3a57e5c2,F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,186,17,243,23,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E022,div,7546,186,17,243,23,click,"<div class=""flex h-[60px] w-full cursor-pointer items-center rounded-[6px] hover:bg-gray-50"" matTooltipPosition=""above"" [matTooltip]=""taskDefinition.name"" [matTooltipDisabled]=""!isTaskListCollapsed"" [matTooltipShowDelay]=""250"" [ngClass]=""{ 'bg-[#e7e7ff]': isSelectedTaskDefinition(taskDefinition), }"" (click)=""selectTaskDefinition(taskDefinition)"" >",Outer clickable task-definition row contains separate action buttons; selection and row actions must remain distinct controls.
M032,283b493367681d1abab23e5fe7c633ba3a57e5c2,F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,217,25,239,31,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E023,div,9037,217,25,239,31,click,"<div class=""flex items-center gap-0.5 pr-0.5"" (click)=""$event.stopPropagation()"" >","Inner div directly stops click propagation around action buttons. This is a second source element, not an ancestor diagnostic for the row."
M033,283b493367681d1abab23e5fe7c633ba3a57e5c2,F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,217,25,239,31,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E023,div,9037,217,25,239,31,click,"<div class=""flex items-center gap-0.5 pr-0.5"" (click)=""$event.stopPropagation()"" >","Inner div directly stops click propagation around action buttons. This is a second source element, not an ancestor diagnostic for the row."
M034,283b493367681d1abab23e5fe7c633ba3a57e5c2,F14,src/app/units/states/tasks/inbox/directives/staff-task-list/staff-task-list.component.html,258,15,380,21,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E024,div,8915,292,15,414,21,click; mouseout; mouseover,"<div class=""inbox-entry flex items-center"" [ngClass]=""{hover: rowActionsShown(task)}"" (click)=""setSelectedTask(task)"" (mouseout)=""hideTaskActions(task)"" (mouseover)=""showTaskActionsForPointer(task)"" >",Clickable staff row contains a focusable options button. Add native selection without nesting that button or losing status/grade/claim context.
M035,283b493367681d1abab23e5fe7c633ba3a57e5c2,F14,src/app/units/states/tasks/inbox/directives/staff-task-list/staff-task-list.component.html,258,15,380,21,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E024,div,8915,292,15,414,21,click; mouseout; mouseover,"<div class=""inbox-entry flex items-center"" [ngClass]=""{hover: rowActionsShown(task)}"" (click)=""setSelectedTask(task)"" (mouseout)=""hideTaskActions(task)"" (mouseover)=""showTaskActionsForPointer(task)"" >",Clickable staff row contains a focusable options button. Add native selection without nesting that button or losing status/grade/claim context.
M036,283b493367681d1abab23e5fe7c633ba3a57e5c2,F15,src/app/units/task-viewer/directives/unit-task-list/unit-task-list.component.html,152,11,220,17,@angular-eslint/template/click-events-have-key-events,2,"click must be accompanied by either keyup, keydown or keypress event for accessibility.",E025,div,5538,152,11,213,17,click,"<div class=""px-3 py-2"" (click)=""$event.stopPropagation()"">",Menu-layout div directly stops click propagation around sort/filter controls; move event handling to actual controls and retain menu behavior.
M037,283b493367681d1abab23e5fe7c633ba3a57e5c2,F15,src/app/units/task-viewer/directives/unit-task-list/unit-task-list.component.html,152,11,220,17,@angular-eslint/template/interactive-supports-focus,2,Elements with interaction handlers must be focusable.,E025,div,5538,152,11,213,17,click,"<div class=""px-3 py-2"" (click)=""$event.stopPropagation()"">",Menu-layout div directly stops click propagation around sort/filter controls; move event handling to actual controls and retain menu behavior.
